codigo_ibge,vab_total_mil_2019_2021,vab_agro_mil,vab_industria_mil,vab_servicos_mil,vab_adm_publica_mil,pct_agro,pct_industria,pct_servicos,pct_adm_publica,anos_usados
4310504,603507,162752,50073,274761,115923,26.97,8.30,45.53,19.21,3
4310538,570454,50680,60260,355977,103537,8.88,10.56,62.40,18.15,3
4310553,433065,281525,11132,65424,74983,65.01,2.57,15.11,17.31,3
4310579,223284,140123,9268,25353,48539,62.76,4.15,11.35,21.74,3
4310603,4692591,1662226,797657,1555824,676884,35.42,17.00,33.15,14.42,3
4310652,228306,117108,10338,43126,57732,51.29,4.53,18.89,25.29,3
4310702,211427,91184,9776,42420,68046,43.13,4.62,20.06,32.18,3
4310751,158086,73235,6072,33168,45611,46.33,3.84,20.98,28.85,3
4310801,2669019,29046,727924,1506123,405926,1.09,27.27,56.43,15.21,3
4310850,326593,135060,13539,103351,74642,41.35,4.15,31.65,22.85,3
4310876,408520,276595,11441,56991,63493,67.71,2.80,13.95,15.54,3
4310900,502673,241374,39318,146636,75343,48.02,7.82,29.17,14.99,3
4311007,2360926,867906,117651,952208,423161,36.76,4.98,40.33,17.92,3
4311106,845214,243891,67528,353378,180416,28.86,7.99,41.81,21.35,3
4311122,228117,78024,16945,63633,69515,34.20,7.43,27.89,30.47,3
4311130,811801,621607,22528,92817,74849,76.57,2.78,11.43,9.22,3
4311155,1836807,1223540,50623,387808,174836,66.61,2.76,21.11,9.52,3
4311205,3748427,1319091,141471,1929450,358416,35.19,3.77,51.47,9.56,3
4311239,174115,80893,6839,26260,60123,46.46,3.93,15.08,34.53,3
4311254,360279,180271,11200,57818,110990,50.04,3.11,16.05,30.81,3
4311270,304942,169913,9449,76200,49381,55.72,3.10,24.99,16.19,3
4311304,3439841,792780,754211,1463453,429395,23.05,21.93,42.54,12.48,3
4311403,12581639,58649,3452134,7716227,1354627,0.47,27.44,61.33,10.77,3
4311429,175464,76643,12060,28299,58460,43.68,6.87,16.13,33.32,3
4311502,983890,579634,29315,214433,160507,58.91,2.98,21.79,16.31,3
4311601,410239,171279,18704,130503,89752,41.75,4.56,31.81,21.88,3
4311627,910874,18232,609694,176327,106618,2.00,66.94,19.36,11.71,3
4311643,171822,98320,9858,24117,39528,57.22,5.74,14.04,23.01,3
4311700,601449,243223,35550,212905,109772,40.44,5.91,35.40,18.25,3
4311718,1161962,835474,49843,167156,109489,71.90,4.29,14.39,9.42,3
4311734,177706,70947,11274,31757,63727,39.92,6.34,17.87,35.86,3
4311759,1054870,645488,42252,223980,143151,61.19,4.01,21.23,13.57,3
4311775,452502,90803,78075,164639,118986,20.07,17.25,36.38,26.30,3
4311791,224318,85087,26388,48510,64333,37.93,11.76,21.63,28.68,3
4311809,6526489,736989,2406412,2627111,755976,11.29,36.87,40.25,11.58,3
4311908,419329,133729,44945,155623,85032,31.89,10.72,37.11,20.28,3
4311981,256775,115039,7810,53766,80161,44.80,3.04,20.94,31.22,3
4312005,181955,80324,11353,38436,51841,44.14,6.24,21.12,28.49,3
4312054,298084,102830,23981,97646,73626,34.50,8.05,32.76,24.70,3
4312104,368737,118608,35744,123801,90584,32.17,9.69,33.57,24.57,3
4312138,351236,184479,10806,93073,62879,52.52,3.08,26.50,17.90,3
4312153,455267,80952,158167,122510,93639,17.78,34.74,26.91,20.57,3
4312179,185626,106690,5945,29969,43022,57.48,3.20,16.14,23.18,3
4312203,365491,138004,33442,113043,81004,37.76,9.15,30.93,22.16,3
4312252,575109,185613,34613,216304,138579,32.27,6.02,37.61,24.10,3
4312302,425239,129267,84611,122087,89272,30.40,19.90,28.71,20.99,3
4312351,194829,103516,16498,35682,39132,53.13,8.47,18.31,20.09,3
4312377,257882,131020,8514,42757,75591,50.81,3.30,16.58,29.31,3
4312385,224526,80578,43219,44693,56036,35.89,19.25,19.91,24.96,3
4312401,11065941,248154,4947559,4699507,1170721,2.24,44.71,42.47,10.58,3
4312427,310246,124519,9822,108813,67092,40.14,3.17,35.07,21.63,3
4312443,191128,73272,8408,44271,65176,38.34,4.40,23.16,34.10,3
4312450,303583,52327,37255,97376,116624,17.24,12.27,32.08,38.42,3
4312476,631193,108304,216148,190666,116076,17.16,34.24,30.21,18.39,3
4312500,1414452,695240,91977,397987,229248,49.15,6.50,28.14,16.21,3
4312609,780111,70774,384457,233271,91608,9.07,49.28,29.90,11.74,3
4312617,2244592,1338935,424501,397965,83191,59.65,18.91,17.73,3.71,3
4312625,193617,108226,6585,32068,46736,55.90,3.40,16.56,24.14,3
4312658,4209985,406067,1848013,1623007,332898,9.65,43.90,38.55,7.91,3
4312674,294387,159823,7954,80243,46365,54.29,2.70,27.26,15.75,3
4312708,1189049,280457,88682,613464,206443,23.59,7.46,51.59,17.36,3
4312757,494478,175180,31900,211051,76346,35.43,6.45,42.68,15.44,3
4312807,722518,128448,284696,220378,88996,17.78,39.40,30.50,12.32,3
4312906,1874219,314333,972441,417821,169621,16.77,51.89,22.29,9.05,3
4312955,323202,121957,67102,87420,46722,37.73,20.76,27.05,14.46,3
4313003,352012,140749,43573,93700,73990,39.98,12.38,26.62,21.02,3
4313011,516364,201730,149930,102821,61883,39.07,29.04,19.91,11.98,3
4313037,394364,74373,101063,122342,96584,18.86,25.63,31.02,24.49,3
4313060,2010788,10906,1110568,537142,352170,0.54,55.23,26.71,17.51,3
4313086,227982,82730,31822,62144,51288,36.29,13.96,27.26,22.50,3
4313102,897601,196863,259522,319784,121432,21.93,28.91,35.63,13.53,3
4313201,2286248,133356,561595,1213661,377633,5.83,24.56,53.09,16.52,3
4313300,3735486,198758,1370128,1671380,495219,5.32,36.68,44.74,13.26,3
4313334,553352,294886,60729,140950,56786,53.29,10.97,25.47,10.26,3
4313359,508283,110220,211113,105151,81798,21.68,41.53,20.69,16.09,3
4313375,4489482,86178,1448557,2389005,565743,1.92,32.27,53.21,12.60,3
4313391,295981,139484,15507,59051,81938,47.13,5.24,19.95,27.68,3
4313409,25459713,63406,6146115,15543232,3706959,0.25,24.14,61.05,14.56,3
4313425,443668,250999,14427,103714,74530,56.57,3.25,23.38,16.80,3
4313441,168750,78956,4208,34938,50649,46.79,2.49,20.70,30.01,3
4313466,184111,91221,6900,39934,46056,49.55,3.75,21.69,25.02,3
4313490,314074,119660,23118,88612,82685,38.10,7.36,28.21,26.33,3
4313508,4734835,134209,768969,2903831,927826,2.83,16.24,61.33,19.60,3
4313607,392013,171720,24691,120133,75468,43.80,6.30,30.65,19.25,3
4313656,1663100,331373,605311,503969,222448,19.93,36.40,30.30,13.38,3
4313706,4762859,1927484,243906,2004450,587018,40.47,5.12,42.09,12.32,3
4313805,677215,192586,127471,226858,130299,28.44,18.82,33.50,19.24,3
4313904,6634873,502294,2874184,2499235,759159,7.57,43.32,37.67,11.44,3
4313953,1187536,386530,241531,384206,175269,32.55,20.34,32.35,14.76,3
4314001,904496,181077,259908,332284,131226,20.02,28.74,36.74,14.51,3
4314027,499146,193168,18381,158678,128920,38.70,3.68,31.79,25.83,3
4314035,312255,81808,24679,121276,84492,26.20,7.90,38.84,27.06,3
4314050,3682474,14342,1173154,1604710,890267,0.39,31.86,43.58,24.18,3
4314068,330561,161162,11205,58900,99294,48.75,3.39,17.82,30.04,3
4314076,536099,208990,72765,133371,120974,38.98,13.57,24.88,22.57,3
4314100,27913640,624482,3650948,20411054,3227155,2.24,13.08,73.12,11.56,3
4314134,392490,131705,130348,72975,57462,33.56,33.21,18.59,14.64,3
4314159,586969,170614,135179,144907,136269,29.07,23.03,24.69,23.22,3
4314175,685956,522293,19338,79063,65261,76.14,2.82,11.53,9.51,3
